,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26
180,31640.407499999998,31578.254999999997,31536.745,31563.260000000002,31549.05
181,31637.199999999997,31578.254999999997,31543.625,31563.260000000002,31559.64
182,31638.095,31578.254999999997,31545.755,31563.260000000002,31562.16
183,31639.322500000002,31578.254999999997,31551.72,31563.260000000002,31548.42
184,31639.322500000002,31578.254999999997,31554.865,31563.260000000002,31559.57
185,31639.322500000002,31579.29,31547.295,31563.260000000002,31573.54
186,31636.670000000002,31581.394999999997,31547.295,31563.260000000002,31574.91
187,31636.0325,31583.69,31547.295,31563.260000000002,31585.95
188,31634.605000000003,31583.69,31548.595,31563.255,31593.55
189,31641.07,31589.76,31548.595,31563.255,31586.55
190,31642.059999999998,31589.76,31548.595,31563.255,31598.44
191,31643.1,31589.76,31548.595,31552.02,31591.02
192,31623.6175,31589.76,31548.595,31542.14,31583.23
193,31623.6175,31589.76,31548.595,31542.14,31545.39
194,31623.6175,31612.53,31550.114999999998,31534.015,31518.13
195,31606.0075,31613.93,31551.155,31529.6,31534.46
196,31585.627500000002,31593.55,31531.965,31529.6,31535.5
197,31571.18,31579.105,31518.23,31519.545,31534.99
198,31571.18,31579.105,31517.8,31519.545,31540.94
199,31571.18,31579.105,31517.8,31519.545,31535.58
200,31565.5625,31579.105,31517.28,31519.545,31517.75
201,31560.622499999998,31579.105,31517.28,31519.545,31502.25
202,31560.622499999998,31579.105,31508.35,31519.545,31509.23
203,31553.9075,31579.105,31507.68,31519.545,31500.58
204,31549.3475,31579.105,31507.68,31519.545,31491.55
205,31544.715,31579.105,31507.68,31519.545,31506.68
206,31550.002500000002,31579.105,31512.135000000002,31519.545,31519.6
207,31553.4425,31579.105,31518.41,31519.545,31544.74
208,31554.5075,31579.105,31533.16,31519.545,31562.96
209,31557.49,31579.105,31540.64,31519.545,31566.31
210,31559.0625,31579.105,31549.32,31519.545,31543.84
211,31555.2775,31579.105,31551.785,31519.545,31598.94
212,31555.2775,31579.105,31554.37,31519.545,31595.7
213,31555.2775,31579.105,31561.345,31523.489999999998,31591.04
214,31555.925000000003,31579.105,31561.58,31523.725,31610.0
215,31555.925000000003,31579.105,31576.11,31530.5,31584.84
216,31555.925000000003,31579.105,31579.190000000002,31530.5,31600.24
217,31550.307500000003,31579.105,31579.190000000002,31530.5,31581.23
218,31545.3675,31579.105,31579.190000000002,31530.5,31581.77
219,31545.3675,31579.105,31577.690000000002,31530.5,31567.41
220,31542.065,31579.105,31555.29,31530.5,31569.61
221,31540.3775,31579.105,31555.29,31530.5,31585.5
222,31530.7825,31579.105,31555.29,31530.5,31570.8
223,31518.887499999997,31569.05,31555.29,31534.955,31537.71
224,31518.6725,31569.05,31552.695,31540.59,31543.19
225,31518.6725,31569.05,31552.695,31552.195,31549.99
226,31518.4125,31569.05,31551.160000000003,31555.29,31551.11
227,31518.4125,31569.05,31541.9,31555.29,31564.28
228,31513.9475,31569.05,31524.56,31555.29,31571.16
229,31513.6125,31563.745000000003,31521.015,31555.29,31541.57
230,31513.6125,31562.47,31516.5,31550.775,31586.47
231,31513.6125,31553.205,31515.64,31549.915,31597.74
232,31515.84,31553.205,31515.64,31549.915,31599.31
233,31518.9775,31553.205,31517.285000000003,31549.915,31600.0
234,31526.3525,31553.205,31527.455,31549.915,31577.41
235,31530.0925,31553.205,31529.03,31549.915,31575.0
236,31534.4325,31553.205,31529.14,31549.915,31584.76
237,31535.665,31553.205,31552.345,31552.345,31578.0
238,31536.957499999997,31553.205,31552.345,31552.345,31539.85
239,31542.4175,31553.205,31552.345,31552.345,31541.78
240,31542.6525,31553.2,31561.355,31552.345,31551.37
241,31553.305,31553.2,31567.23,31552.345,31538.45
242,31554.845,31553.2,31577.605,31552.345,31543.82
243,31554.845,31541.965,31577.605,31552.345,31554.99
244,31554.845,31532.085,31577.605,31552.345,31558.14
245,31554.095,31532.085,31577.605,31552.345,31556.24
246,31542.895,31530.5,31585.565,31552.345,31583.05
247,31542.895,31530.5,31585.565,31552.345,31582.85
248,31542.895,31530.5,31585.565,31552.345,31587.8
249,31545.1225,31530.5,31573.84,31552.345,31575.94
250,31546.6425,31530.5,31567.825,31552.345,31590.18
251,31552.445,31530.5,31567.825,31552.345,31586.34
252,31553.225000000002,31530.5,31564.4,31552.345,31585.0
253,31548.595,31530.5,31563.614999999998,31552.345,31615.01
254,31539.925000000003,31530.5,31563.614999999998,31552.345,31586.15
255,31538.1525,31530.5,31563.614999999998,31552.345,31610.74
256,31533.6375,31530.5,31565.925,31552.345,31629.99
257,31532.7775,31530.5,31566.85,31561.355,31682.75
258,31532.7775,31530.5,31567.705,31567.23,31706.52
259,31533.600000000002,31530.5,31572.845,31575.135000000002,31671.81
260,31538.685,31530.5,31572.845,31575.135000000002,31706.44
261,31539.4725,31530.5,31572.845,31575.135000000002,31690.93
262,31539.5275,31530.5,31572.845,31575.135000000002,31675.63
263,31552.345,31532.93,31572.845,31572.97,31659.99
264,31552.345,31532.93,31571.52,31572.795,31650.0
265,31552.345,31532.93,31565.629999999997,31566.905,31661.34
266,31556.85,31532.93,31565.629999999997,31566.64,31666.39
267,31559.7875,31532.93,31565.629999999997,31565.629999999997,31664.43
268,31564.975,31532.93,31561.644999999997,31565.629999999997,31673.59
269,31564.975,31532.93,31560.155,31565.629999999997,31670.01
270,31564.975,31532.93,31560.155,31565.629999999997,31686.19
271,31564.975,31532.93,31560.155,31565.629999999997,31670.0
272,31568.955,31532.93,31558.93,31565.629999999997,31666.0
273,31568.955,31532.93,31558.93,31565.629999999997,31683.66
274,31568.955,31532.93,31559.425000000003,31565.629999999997,31672.78
275,31563.0925,31537.385000000002,31559.425000000003,31565.629999999997,31704.99
276,31560.085,31543.02,31559.425000000003,31565.629999999997,31730.95
277,31560.085,31552.345,31568.4,31565.629999999997,31757.94
278,31558.3725,31552.345,31568.4,31565.629999999997,31729.11
279,31557.98,31552.345,31589.620000000003,31574.260000000002,31743.65
280,31557.98,31552.345,31590.74,31574.260000000002,31736.48
281,31557.98,31552.345,31595.565000000002,31574.260000000002,31734.31
