,date,open,high,low,close,volume,QAV,trades,TBAV,TQAV,Ignore,detect
117,2021-07-19 06:11:00+04:30,31567.82,31567.82,31537.96,31553.82,11.99182900,378390.80992626,335,8.40311600,265137.40371433,0,1.0
118,2021-07-19 06:12:00+04:30,31556.51,31597.77,31552.6,31589.77,16.47737100,520349.01688593,494,11.75686000,371292.25563096,0,1.0
119,2021-07-19 06:13:00+04:30,31589.77,31595.07,31566.13,31593.71,31.56291700,996913.89974121,455,10.86971500,343268.21459942,0,0.0
120,2021-07-19 06:14:00+04:30,31593.71,31599.99,31580.21,31583.83,7.88428900,249073.05721298,284,4.73192900,149491.31844568,0,1.0
121,2021-07-19 06:15:00+04:30,31582.99,31620.91,31572.46,31616.16,31.17186500,984675.56784077,476,10.61341100,335344.27281548,0,1.0
122,2021-07-19 06:16:00+04:30,31616.17,31643.96,31602.42,31626.36,18.91346300,598162.92681771,514,8.14003800,257413.89833008,0,0.0
123,2021-07-19 06:17:00+04:30,31626.37,31629.99,31612.77,31625.58,6.85451600,216771.06880737,268,2.91701200,92244.93912488,0,0.0
124,2021-07-19 06:18:00+04:30,31625.59,31625.59,31610.8,31617.65,10.02487400,316959.49549052,245,3.05011600,96441.00849613,0,0.0
125,2021-07-19 06:19:00+04:30,31617.66,31620.0,31575.6,31586.93,17.59663100,556069.94796633,345,6.08219500,192226.39647999,0,1.0
126,2021-07-19 06:20:00+04:30,31589.29,31606.38,31589.29,31602.11,14.55018800,459740.74206656,218,7.20016900,227518.29581769,0,0.0
127,2021-07-19 06:21:00+04:30,31602.1,31602.91,31573.23,31575.1,13.12990800,414688.28927416,297,2.40113600,75839.80231450,0,1.0
128,2021-07-19 06:22:00+04:30,31575.11,31585.01,31572.59,31580.78,10.05586800,317554.97924772,230,4.01372400,126745.22773693,0,0.0
129,2021-07-19 06:23:00+04:30,31580.78,31585.86,31557.55,31566.43,13.28152000,419267.37736299,285,5.45230000,172124.59496140,0,1.0
130,2021-07-19 06:24:00+04:30,31565.87,31588.73,31559.27,31571.07,28.58056800,902471.44702470,333,19.51298500,616225.93874134,0,1.0
131,2021-07-19 06:25:00+04:30,31571.07,31575.42,31562.85,31575.19,9.01093100,284453.49139873,245,3.35083500,105780.32489796,0,1.0
132,2021-07-19 06:26:00+04:30,31575.19,31599.26,31575.19,31589.95,15.44016300,487698.27615497,308,7.15066800,225862.96551357,0,1.0
133,2021-07-19 06:27:00+04:30,31589.95,31608.81,31587.63,31606.06,16.48706300,520954.97289431,273,9.41428400,297477.09796363,0,0.0
134,2021-07-19 06:28:00+04:30,31605.89,31605.89,31584.78,31598.02,26.75396600,845317.76250276,301,5.34983600,169021.74440071,0,1.0
135,2021-07-19 06:29:00+04:30,31595.21,31604.05,31594.87,31601.76,11.41599000,360726.01800002,251,2.90702000,91857.69577371,0,0.0
136,2021-07-19 06:30:00+04:30,31601.76,31604.04,31567.76,31583.19,14.30497600,451814.54655672,443,7.58022600,239447.50801961,0,1.0
137,2021-07-19 06:31:00+04:30,31583.19,31615.38,31580.58,31613.1,21.77061800,687926.40436288,384,10.22851200,323250.53510648,0,1.0
138,2021-07-19 06:32:00+04:30,31613.15,31634.22,31607.62,31627.13,30.57994700,966988.97483999,507,20.78624900,657322.50192948,0,1.0
139,2021-07-19 06:33:00+04:30,31627.12,31636.93,31617.54,31628.49,23.95612400,757652.30627111,379,10.00892000,316552.11525011,0,0.0
140,2021-07-19 06:34:00+04:30,31628.48,31630.0,31609.2,31627.13,21.43570700,677798.84182236,418,6.91666700,218700.99440490,0,0.0
141,2021-07-19 06:35:00+04:30,31627.13,31634.13,31606.44,31607.52,20.21504900,639230.89709172,453,9.61450300,304027.14027616,0,1.0
142,2021-07-19 06:36:00+04:30,31607.52,31638.34,31607.51,31634.49,12.19118700,385586.67853457,280,5.30880000,167895.73237640,0,1.0
143,2021-07-19 06:37:00+04:30,31636.42,31640.77,31627.69,31636.64,8.05645600,254867.61777018,215,5.08028000,160715.51245618,0,0.0
144,2021-07-19 06:38:00+04:30,31636.65,31636.66,31620.03,31623.72,8.80212900,278421.57924212,237,3.67431200,116226.76737537,0,1.0
145,2021-07-19 06:39:00+04:30,31623.72,31634.77,31623.72,31632.72,6.41603400,202933.93589753,179,5.56255200,175936.26330997,0,1.0
146,2021-07-19 06:40:00+04:30,31629.88,31647.26,31629.88,31647.26,5.37373700,170028.30945995,235,4.51389000,142820.98594497,0,1.0
147,2021-07-19 06:41:00+04:30,31647.27,31656.44,31642.19,31649.83,4.99374100,158050.83156880,229,3.64601200,115393.05981881,0,1.0
148,2021-07-19 06:42:00+04:30,31649.84,31678.84,31645.77,31673.77,8.19773700,259571.15176448,392,5.20124700,164685.02654108,0,1.0
149,2021-07-19 06:43:00+04:30,31673.27,31680.0,31662.4,31674.72,13.71771900,434468.17372417,283,6.38891100,202367.07948598,0,0.0
150,2021-07-19 06:44:00+04:30,31674.71,31681.56,31660.06,31674.21,8.11594600,257022.24735118,267,5.86725600,185803.62628532,0,1.0
151,2021-07-19 06:45:00+04:30,31677.68,31687.1,31669.78,31676.49,20.72808400,656545.12794673,330,11.15979800,353461.87583471,0,0.0
152,2021-07-19 06:46:00+04:30,31676.48,31676.49,31653.49,31665.53,11.30803000,358064.51748084,279,6.04832500,191530.64721023,0,0.0
153,2021-07-19 06:47:00+04:30,31665.54,31673.94,31632.37,31632.65,15.52876300,491525.27209422,313,4.93699600,156272.51026068,0,1.0
154,2021-07-19 06:48:00+04:30,31632.65,31649.66,31632.65,31643.27,5.55102600,175633.60734712,226,3.05944800,96801.89788698,0,0.0
155,2021-07-19 06:49:00+04:30,31643.27,31646.53,31615.33,31619.29,19.30091800,610580.11150090,364,10.43315300,330035.49140778,0,1.0
156,2021-07-19 06:50:00+04:30,31619.29,31639.0,31619.29,31638.73,9.92781000,314044.21526252,259,5.90777600,186873.21294282,0,1.0
157,2021-07-19 06:51:00+04:30,31638.73,31649.81,31631.11,31644.21,9.05817300,286599.27803259,221,4.15828200,131571.00454489,0,0.0
158,2021-07-19 06:52:00+04:30,31644.21,31647.79,31628.48,31635.29,6.80258300,215231.71304276,192,2.99657000,94821.10668977,0,0.0
159,2021-07-19 06:53:00+04:30,31635.29,31638.56,31631.81,31633.92,5.04073900,159462.48051926,182,1.83446800,58033.76398548,0,1.0
160,2021-07-19 06:54:00+04:30,31633.93,31650.08,31633.92,31643.0,12.40702600,392614.57933352,201,11.00176900,348145.80812610,0,0.0
161,2021-07-19 06:55:00+04:30,31643.0,31654.84,31636.08,31636.09,4.14873200,131289.65030650,179,2.15952500,68336.85610820,0,1.0
162,2021-07-19 06:56:00+04:30,31636.08,31655.41,31623.45,31651.7,8.59692600,272025.41632109,262,4.36089400,137992.32575575,0,0.0
163,2021-07-19 06:57:00+04:30,31651.71,31653.11,31641.09,31651.07,6.19802900,196175.41325413,169,2.77667800,87883.49562132,0,1.0
164,2021-07-19 06:58:00+04:30,31651.07,31654.75,31648.26,31653.71,4.97792200,157555.24132775,177,1.54352600,48855.02026253,0,0.0
165,2021-07-19 06:59:00+04:30,31653.7,31655.4,31626.33,31626.33,8.54833500,270510.16727943,234,2.32297300,73510.70676095,0,0.0
166,2021-07-19 07:00:00+04:30,31626.33,31632.93,31575.98,31602.93,25.70001100,812010.83443917,424,7.88233100,249093.52169338,0,0.0
167,2021-07-19 07:01:00+04:30,31601.07,31601.07,31584.48,31597.16,19.94221900,629991.82099555,325,13.67717200,432065.03246993,0,0.0
168,2021-07-19 07:02:00+04:30,31597.16,31613.17,31587.81,31596.92,13.80436200,436293.48293998,240,6.47512000,204627.89305108,0,0.0
169,2021-07-19 07:03:00+04:30,31596.92,31596.92,31540.76,31542.42,18.74564300,591594.07902982,545,5.80821600,183323.97063665,0,0.0
170,2021-07-19 07:04:00+04:30,31542.42,31547.89,31500.0,31500.0,28.88309700,910570.84078802,610,9.76504700,307852.14282042,0,1.0
171,2021-07-19 07:05:00+04:30,31500.0,31509.21,31471.11,31509.21,40.13546000,1263722.44905323,767,15.00312500,472419.52844186,0,1.0
172,2021-07-19 07:06:00+04:30,31509.21,31524.49,31492.26,31512.13,38.12756100,1201428.06667753,505,31.80081500,1002077.49149543,0,1.0
173,2021-07-19 07:07:00+04:30,31512.12,31541.49,31510.0,31529.0,28.81466000,908503.71488717,342,25.70301300,810401.97674477,0,0.0
174,2021-07-19 07:08:00+04:30,31529.0,31530.0,31506.02,31519.98,20.06281100,632389.57000807,264,12.28897500,387346.67812927,0,1.0
175,2021-07-19 07:09:00+04:30,31519.99,31562.3,31517.95,31539.02,15.95627200,503344.52964391,355,9.19274000,289974.18497647,0,1.0
176,2021-07-19 07:10:00+04:30,31538.09,31549.14,31524.24,31544.66,12.91966100,407476.68770763,288,6.82878500,215383.14041196,0,1.0
177,2021-07-19 07:11:00+04:30,31544.67,31568.86,31540.0,31567.99,8.56823300,270327.92044290,281,6.36080100,200689.02481793,0,0.0
178,2021-07-19 07:12:00+04:30,31567.99,31581.23,31559.82,31566.91,18.21316600,575057.49516191,358,14.99818500,473562.44127300,0,1.0
179,2021-07-19 07:13:00+04:30,31566.91,31579.21,31563.41,31573.78,11.93207500,376738.67646285,245,11.41564600,360434.58434168,0,0.0
180,2021-07-19 07:14:00+04:30,31569.93,31572.03,31536.95,31547.0,10.43438900,329167.05695641,287,6.41721800,202405.69616471,0,1.0
181,2021-07-19 07:15:00+04:30,31545.86,31574.54,31545.85,31567.27,12.50345800,394646.05690804,250,2.96702200,93631.12622415,0,1.0
182,2021-07-19 07:16:00+04:30,31567.27,31585.49,31565.97,31573.45,6.55720800,207054.10615384,243,2.75603700,87023.43830612,0,0.0
183,2021-07-19 07:17:00+04:30,31573.44,31574.99,31566.28,31569.23,5.61894600,177393.49112765,183,3.08295800,97330.46343087,0,0.0
184,2021-07-19 07:18:00+04:30,31567.64,31572.97,31550.0,31553.76,22.26527700,702635.43299803,221,6.41242700,202346.10384894,0,0.0
185,2021-07-19 07:19:00+04:30,31553.76,31557.05,31509.1,31514.66,32.64084300,1029602.69210954,368,8.39679500,264856.58142931,0,1.0
186,2021-07-19 07:20:00+04:30,31514.65,31542.97,31512.14,31540.52,6.67896900,210569.97232543,227,4.44932200,140273.71161548,0,1.0
187,2021-07-19 07:21:00+04:30,31540.51,31559.75,31540.51,31557.09,4.70183300,148353.12743475,231,2.94293400,92853.34349002,0,1.0
188,2021-07-19 07:22:00+04:30,31557.08,31588.09,31557.08,31585.46,28.39797800,896606.17872877,378,25.30495700,798932.00588295,0,0.0
189,2021-07-19 07:23:00+04:30,31585.46,31585.46,31569.34,31575.98,5.28847400,166987.77310641,251,2.27513100,71839.10670475,0,0.0
190,2021-07-19 07:24:00+04:30,31575.99,31579.2,31563.41,31569.92,7.72636200,243935.22519155,222,4.96360100,156717.16327462,0,1.0
191,2021-07-19 07:25:00+04:30,31569.92,31584.6,31569.91,31575.02,3.98935700,125963.18212317,169,1.83886700,58061.77572889,0,0.0
192,2021-07-19 07:26:00+04:30,31575.02,31581.45,31563.42,31570.14,1.81967500,57454.16776642,151,1.14788900,36242.09707590,0,0.0
193,2021-07-19 07:27:00+04:30,31570.14,31583.56,31560.62,31561.0,7.07832700,223449.09200124,242,4.31135500,136097.61103105,0,0.0
194,2021-07-19 07:28:00+04:30,31561.01,31565.7,31527.2,31539.21,15.13227900,477300.91432860,318,7.30870100,230540.37075837,0,0.0
195,2021-07-19 07:29:00+04:30,31543.69,31549.63,31514.22,31515.79,11.38834700,359085.52557435,252,3.94577000,124412.89515383,0,0.0
196,2021-07-19 07:30:00+04:30,31515.78,31521.12,31475.84,31488.66,36.55177200,1151393.95940745,594,13.59523200,428343.21585653,0,0.0
197,2021-07-19 07:31:00+04:30,31483.97,31503.84,31451.0,31466.18,21.95048900,690849.18378543,593,12.31443600,387543.63018488,0,1.0
198,2021-07-19 07:32:00+04:30,31466.17,31490.91,31459.91,31487.28,14.28539800,449632.66889315,386,8.17252700,257237.96717867,0,1.0
199,2021-07-19 07:33:00+04:30,31487.27,31496.61,31471.18,31494.4,17.82551600,561309.52738488,246,11.54821500,363673.57899185,0,1.0
200,2021-07-19 07:34:00+04:30,31494.39,31510.38,31494.39,31509.35,6.17322700,194472.05380514,268,3.98132100,125423.01093875,0,1.0
201,2021-07-19 07:35:00+04:30,31509.35,31548.32,31509.35,31539.2,12.66847200,399450.57934611,462,8.03641600,253367.88000423,0,1.0
202,2021-07-19 07:36:00+04:30,31539.2,31551.7,31531.95,31551.33,11.86523000,374260.85790991,354,8.54003800,269380.27266919,0,0.0
203,2021-07-19 07:37:00+04:30,31551.34,31564.36,31547.5,31548.83,14.82499200,467813.18008466,300,9.85682100,311047.50179262,0,0.0
204,2021-07-19 07:38:00+04:30,31548.82,31548.83,31530.93,31535.31,8.44991500,266473.55847593,265,0.97129100,30632.89133265,0,1.0
205,2021-07-19 07:39:00+04:30,31535.31,31546.28,31535.31,31540.75,4.36974600,137822.17089911,180,3.05284200,96285.99917783,0,1.0
206,2021-07-19 07:40:00+04:30,31540.74,31549.05,31526.71,31549.05,7.36150800,232155.64909249,218,3.46613600,109316.39344148,0,1.0
207,2021-07-19 07:41:00+04:30,31549.99,31565.64,31542.22,31559.64,9.09015300,286811.36954180,268,4.78411000,150943.42482243,0,1.0
