"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 06, 2021","0.155210","0.154171","0.155210","0.149352","697.46K","0.67%"
"Mar 05, 2021","0.154171","0.147269","0.155808","0.147269","717.65K","4.69%"
"Mar 04, 2021","0.147269","0.159821","0.160662","0.147269","685.21K","-7.85%"
"Mar 03, 2021","0.159821","0.162864","0.162864","0.159821","1.81M","-1.87%"
"Mar 02, 2021","0.162864","0.169998","0.169998","0.152355","1.94M","-4.20%"
"Mar 01, 2021","0.169998","0.130578","0.169998","0.130578","5.42M","30.19%"
"Feb 28, 2021","0.130578","0.141545","0.141545","0.117001","3.79M","-7.75%"
"Feb 27, 2021","0.141545","0.154905","0.154905","0.141545","2.69M","-8.62%"
"Feb 26, 2021","0.154905","0.161691","0.164796","0.152531","2.72M","-4.20%"
"Feb 25, 2021","0.161691","0.181877","0.182677","0.161691","1.59M","-11.10%"
"Feb 24, 2021","0.181877","0.178699","0.195100","0.178639","3.43M","1.78%"
"Feb 23, 2021","0.178699","0.200799","0.200799","0.158763","6.39M","-11.01%"
"Feb 22, 2021","0.200799","0.205224","0.205224","0.187900","9.85M","-2.16%"
"Feb 21, 2021","0.205224","0.226256","0.228690","0.197320","8.06M","-9.30%"
"Feb 20, 2021","0.226256","0.149314","0.279374","0.149314","16.19M","51.53%"
"Feb 19, 2021","0.149314","0.100048","0.149314","0.100048","14.37M","49.24%"
"Feb 18, 2021","0.100048","0.073099","0.100048","0.073099","3.57M","36.87%"
"Feb 17, 2021","0.073099","0.078731","0.078731","0.073099","693.28K","-7.15%"
"Feb 16, 2021","0.078731","0.074545","0.078731","0.074169","1.62M","5.61%"
"Feb 15, 2021","0.074545","0.074006","0.076154","0.070412","5.40M","0.73%"
"Feb 14, 2021","0.074006","0.057181","0.075355","0.057181","11.48M","29.43%"
"Feb 13, 2021","0.057181","0.049879","0.057520","0.049879","5.12M","14.64%"
"Feb 12, 2021","0.049879","0.048219","0.050235","0.048099","2.98M","3.44%"
"Feb 11, 2021","0.048219","0.049386","0.049386","0.047478","4.13M","-2.12%"
"Feb 10, 2021","0.049264","0.042319","0.049264","0.042319","7.59M","16.41%"
"Feb 09, 2021","0.042319","0.035006","0.042376","0.035006","6.48M","20.89%"
"Feb 08, 2021","0.035006","0.031910","0.035006","0.031660","4.70M","9.70%"
"Feb 07, 2021","0.031910","0.031158","0.031910","0.029752","3.91M","2.41%"
"Feb 06, 2021","0.031158","0.030400","0.031158","0.028480","4.01M","2.49%"
"Feb 05, 2021","0.030400","0.026060","0.030400","0.026060","5.16M","16.65%"
"Feb 04, 2021","0.026060","0.024637","0.026530","0.024637","5.80M","5.77%"
"Feb 03, 2021","0.024637","0.024732","0.024732","0.024191","4.41M","-0.38%"
"Feb 02, 2021","0.024732","0.024000","0.025280","0.024000","3.66M","3.05%"
"Feb 01, 2021","0.024000","0.024784","0.024784","0.024000","4.00M","-3.17%"
"Jan 31, 2021","0.024784","0.023100","0.024993","0.023100","9.09M","7.29%"
"Jan 30, 2021","0.023100","0.026811","0.036465","0.022791","24.67M","-14.16%"
"Jan 29, 2021","0.026911","0.015550","0.026911","0.015550","31.26M","73.06%"
"Jan 28, 2021","0.015550","0.015100","0.015944","0.015100","1.84M","2.98%"
"Jan 27, 2021","0.015100","0.016500","0.016500","0.015100","1.22M","-8.48%"
"Jan 26, 2021","0.016500","0.016844","0.016844","0.016225","620.32K","-2.04%"
"Jan 25, 2021","0.016844","0.017267","0.017267","0.016844","618.09K","-2.45%"
"Jan 24, 2021","0.017267","0.017277","0.017463","0.016834","723.07K","-0.06%"
"Jan 23, 2021","0.017277","0.017280","0.017565","0.017204","836.30K","-0.01%"
