,Unnamed: 0,actual,predicted,rec,date,open,high,low,close,volume
1118,1118,2724.78,2628.777344,sell,2021-08-05 00:30:00+04:30,2694.9,2772.71,2688.66,2724.78,145690.1574
1119,1119,2712.01,2684.441406,sell,2021-08-05 04:30:00+04:30,2724.55,2742,2660.84,2712.01,145832.3975
1120,1120,2681.7,2707.419922,buy,2021-08-05 08:30:00+04:30,2712.01,2721.34,2667.28,2681.7,96908.3731
1121,1121,2622.22,2704.280273,buy,2021-08-05 12:30:00+04:30,2681.81,2692.06,2574.57,2622.22,226379.1958
1122,1122,2755.08,2669.5896,sell,2021-08-05 16:30:00+04:30,2622.26,2820,2529.91,2755.08,492343.6863
1123,1123,2796.73,2700.693115,sell,2021-08-05 20:30:00+04:30,2755.19,2830,2746.55,2796.73,225265.6551
1124,1124,2826.99,2748.366211,sell,2021-08-06 00:30:00+04:30,2796.73,2843.98,2786.39,2826.99,120990.8988
1125,1125,2760.87,2791.147949,buy,2021-08-06 04:30:00+04:30,2827.01,2844.44,2751.42,2760.87,132956.112
1126,1126,2767.67,2786.45459,buy,2021-08-06 08:30:00+04:30,2760.87,2813.5,2750,2767.67,95766.55677
1127,1127,2736.26,2781.588623,buy,2021-08-06 12:30:00+04:30,2767.65,2782.36,2733.33,2736.26,92147.68201
1128,1128,2838.27,2761.202393,sell,2021-08-06 16:30:00+04:30,2736.27,2848,2720.06,2838.27,154238.1649
1129,1129,2928.67,2788.752686,sell,2021-08-06 20:30:00+04:30,2838.27,2946.75,2836.99,2928.67,258623.6507
1130,1130,2891.58,2848.894531,sell,2021-08-07 00:30:00+04:30,2929.15,2939.43,2870.94,2891.58,91667.32
1131,1131,2935.12,2873.768066,sell,2021-08-07 04:30:00+04:30,2891.54,2938.99,2865.5,2935.12,107849.5585
1132,1132,2955.76,2903.22876,sell,2021-08-07 08:30:00+04:30,2935.12,2982.95,2927,2955.76,140648.2858
1133,1133,3105.5,2930.256592,sell,2021-08-07 12:30:00+04:30,2955.76,3114.5,2942.52,3105.5,256761.0018
1134,1134,3082.97,3009.309814,sell,2021-08-07 16:30:00+04:30,3105.44,3171,3053.38,3082.97,316791.3524
1135,1135,3075.02,3053.649658,sell,2021-08-07 20:30:00+04:30,3082.97,3100,2993.27,3075.02,214238.2832
1136,1136,3160.31,3071.275146,sell,2021-08-08 00:30:00+04:30,3075,3170,3057.27,3160.31,168988.6194
1137,1137,3119.92,3115.352295,buy,2021-08-08 04:30:00+04:30,3160.48,3189.99,3072.55,3119.92,200516.6918
1138,1138,3137.84,3124.242432,sell,2021-08-08 08:30:00+04:30,3119.95,3187,3092.76,3137.84,161980.43
1139,1139,3101.3,3134.485596,buy,2021-08-08 12:30:00+04:30,3137.85,3160,3081.34,3101.3,123790.3663
1140,1140,3030.77,3121.840332,buy,2021-08-08 16:30:00+04:30,3101.31,3149.92,3014.7,3030.77,169215.7525
1141,1141,2984.44,3080.306641,buy,2021-08-08 20:30:00+04:30,3030.77,3069.98,2949.03,2984.44,183497.4491
