,actual,predicted
351,1687.01,1656.1097412109375
352,1696.12,1665.196533203125
353,1704.24,1673.84765625
354,1764.2900000000002,1682.5252685546875
355,1787.86,1737.3348388671875
356,1816.08,1757.9976806640625
357,1816.74,1781.0489501953125
358,1797.25,1791.962158203125
359,1818.01,1778.5406494140625
360,1848.79,1793.7891845703125
361,1830.61,1810.8729248046875
362,1858.27,1799.920166015625
363,1840.46,1835.70458984375
364,1823.17,1825.3306884765625
365,1813.89,1809.770751953125
366,1808.83,1806.0469970703125
367,1849.09,1772.976806640625
368,1900.63,1819.7869873046875
369,1919.3700000000001,1866.40625
370,1922.8,1886.0572509765625
371,1926.3099999999997,1913.4503173828125
372,1920.07,1908.1448974609375
373,1944.39,1900.7957763671875
374,1974.12,1914.580078125
375,1968.05,1916.5230712890625
376,1996.63,1942.0738525390625
377,1994.71,1966.7520751953125
378,2005.61,1971.5611572265625
379,2073.89,1987.4365234375
380,2062.63,2027.977783203125
381,2133.69,2026.32666015625
382,2093.1,2101.766845703125
383,2111.35,2073.149658203125
384,2096.44,2099.249267578125
385,2070.98,2084.95703125
386,2095.29,2054.71875
387,2008.52,2038.2403564453125
388,2015.27,1994.857177734375
389,2034.58,1988.8748779296875
390,2043.1300000000003,2013.6658935546875
391,2077.34,2033.376708984375
392,2061.44,2061.701904296875
393,2075.69,2057.207275390625
394,2028.66,2067.951904296875
395,2028.16,2025.31103515625
396,2057.03,2002.7318115234375
397,2113.18,2032.4832763671875
398,2104.35,2077.771728515625
399,2107.38,2074.83251953125
400,2114.18,2099.505615234375
401,2099.45,2117.243896484375
402,2113.6,2088.39404296875
403,2084.67,2086.48388671875
404,2113.6,2056.03173828125
405,2112.21,2090.73193359375
406,2104.99,2091.181640625
407,2074.89,2089.44677734375
408,1977.89,2067.876708984375
409,1977.04,1956.7353515625
410,1983.46,1945.9530029296875
411,1963.47,1947.955078125
412,1997.12,1934.9364013671875
413,2027.76,1975.9766845703125
414,1996.92,2020.718017578125
415,2059.5,1986.58642578125
416,2057.81,2035.7626953125
417,2080.46,2039.2891845703125
418,2072.8,2046.2802734375
419,2077.89,2064.312255859375
420,2083.81,2062.734130859375
421,2062.24,2061.841796875
422,2077.28,2040.6875
423,2066.87,2049.036865234375
424,2144.4,2047.082763671875
425,2162.93,2113.793212890625
426,2160.62,2129.986328125
427,2156.07,2136.95703125
428,2128.42,2134.279052734375
429,2133.49,2111.00439453125
430,2144.67,2099.845458984375
431,2130.89,2119.415771484375
432,2147.14,2105.737060546875
433,2148.4,2130.363037109375
434,2143.02,2129.9248046875
435,2151.36,2124.624267578125
436,2148.88,2129.0419921875
437,2181.1,2124.5595703125
438,2149.7,2152.401611328125
439,2121.74,2117.69970703125
440,2142.31,2103.823974609375
441,2137.69,2116.241943359375
442,2163.35,2113.34765625
443,2163.84,2137.074951171875
444,2229.17,2143.660888671875
445,2275.7,2184.007080078125
446,2297.38,2230.459228515625
447,2299.19,2245.911865234375
448,2346.97,2262.063720703125
449,2370.5,2312.110107421875
450,2390.0,2330.46826171875
451,2348.71,2328.574951171875
452,2335.3,2293.768798828125
453,2432.6000000000004,2296.23583984375
454,2475.75,2385.310546875
455,2469.1,2416.738525390625
456,2428.92,2429.64990234375
457,2461.49,2419.127685546875
458,2478.51,2441.86962890625
459,2514.04,2437.154296875
460,2497.57,2471.553955078125
461,2426.59,2467.33544921875
462,2382.67,2376.839599609375
463,2428.92,2346.396484375
464,2429.66,2359.29736328125
465,2422.67,2365.967529296875
466,2486.79,2399.89990234375
467,2461.4,2466.54638671875
468,2408.99,2451.147216796875
469,2345.0,2396.860595703125
470,2378.57,2323.154296875
471,2317.6,2330.101806640625
472,2158.9,2300.195068359375
473,2210.29,2085.63037109375
474,2052.19,2157.69140625
475,2144.3,2021.0555419921875
476,2188.41,2065.14501953125
477,2235.64,2151.969970703125
478,2266.21,2191.8671875
479,2268.6,2233.429443359375
480,2246.63,2241.751708984375
481,2095.32,2194.976318359375
482,2187.46,2054.540283203125
483,2161.12,2133.398681640625
