,date,ITS_9_tenkensen,IKS_26_kijunsen,ISA_9_spanA,ISB_26_spanB,IKS_26_chiku,kijunAndSpanBCross
239,2021-06-30 05:34:00+04:30,0,0,0,0,1,1
240,2021-06-30 05:35:00+04:30,0,0,0,0,1,1
241,2021-06-30 05:36:00+04:30,0,0,0,0,1,1
242,2021-06-30 05:37:00+04:30,0,0,0,0,1,1
243,2021-06-30 05:38:00+04:30,0,0,0,0,1,1
244,2021-06-30 05:39:00+04:30,0,0,0,0,1,1
245,2021-06-30 05:40:00+04:30,0,0,0,0,1,1
246,2021-06-30 05:41:00+04:30,1,0,0,0,1,1
247,2021-06-30 05:42:00+04:30,1,0,0,0,1,1
248,2021-06-30 05:43:00+04:30,1,0,0,0,1,1
249,2021-06-30 05:44:00+04:30,1,0,0,0,1,1
250,2021-06-30 05:45:00+04:30,0,0,0,0,1,1
251,2021-06-30 05:46:00+04:30,0,0,0,0,1,1
252,2021-06-30 05:47:00+04:30,0,0,0,0,1,1
253,2021-06-30 05:48:00+04:30,0,0,0,0,1,1
254,2021-06-30 05:49:00+04:30,0,0,0,0,1,1
255,2021-06-30 05:50:00+04:30,0,0,0,0,1,1
256,2021-06-30 05:51:00+04:30,0,0,0,0,1,1
257,2021-06-30 05:52:00+04:30,0,0,0,0,1,0
258,2021-06-30 05:53:00+04:30,1,0,0,0,1,0
259,2021-06-30 05:54:00+04:30,0,0,0,0,1,0
260,2021-06-30 05:55:00+04:30,1,1,0,0,0,0
261,2021-06-30 05:56:00+04:30,1,0,0,0,1,0
262,2021-06-30 05:57:00+04:30,1,0,0,0,1,0
263,2021-06-30 05:58:00+04:30,1,0,0,0,1,0
264,2021-06-30 05:59:00+04:30,1,0,0,0,1,0
265,2021-06-30 06:00:00+04:30,0,0,0,0,1,0
266,2021-06-30 06:01:00+04:30,0,0,0,0,1,0
267,2021-06-30 06:02:00+04:30,0,0,0,0,1,0
268,2021-06-30 06:03:00+04:30,1,1,0,0,0,0
269,2021-06-30 06:04:00+04:30,1,1,0,0,0,0
270,2021-06-30 06:05:00+04:30,1,0,0,0,1,0
271,2021-06-30 06:06:00+04:30,1,1,0,0,0,0
272,2021-06-30 06:07:00+04:30,1,1,1,0,0,0
273,2021-06-30 06:08:00+04:30,1,1,1,0,0,0
274,2021-06-30 06:09:00+04:30,1,1,1,0,0,0
275,2021-06-30 06:10:00+04:30,1,1,0,0,0,0
276,2021-06-30 06:11:00+04:30,1,1,0,0,0,0
277,2021-06-30 06:12:00+04:30,0,0,0,0,1,0
278,2021-06-30 06:13:00+04:30,0,0,0,0,1,0
279,2021-06-30 06:14:00+04:30,1,1,1,0,0,0
280,2021-06-30 06:15:00+04:30,0,0,0,0,1,0
281,2021-06-30 06:16:00+04:30,0,1,0,0,0,0
282,2021-06-30 06:17:00+04:30,0,0,0,0,1,0
283,2021-06-30 06:18:00+04:30,0,0,0,0,1,0
284,2021-06-30 06:19:00+04:30,1,1,1,0,0,0
285,2021-06-30 06:20:00+04:30,0,0,0,0,1,0
286,2021-06-30 06:21:00+04:30,0,0,0,0,1,0
287,2021-06-30 06:22:00+04:30,0,0,0,0,1,0
288,2021-06-30 06:23:00+04:30,0,0,0,0,1,0
289,2021-06-30 06:24:00+04:30,0,0,1,0,1,0
290,2021-06-30 06:25:00+04:30,1,0,1,0,1,0
291,2021-06-30 06:26:00+04:30,1,0,1,0,1,0
292,2021-06-30 06:27:00+04:30,0,0,1,0,1,0
293,2021-06-30 06:28:00+04:30,1,0,1,0,1,0
294,2021-06-30 06:29:00+04:30,1,0,1,0,1,0
295,2021-06-30 06:30:00+04:30,0,0,0,0,1,0
296,2021-06-30 06:31:00+04:30,0,0,0,0,1,0
297,2021-06-30 06:32:00+04:30,0,0,0,0,1,0
298,2021-06-30 06:33:00+04:30,1,0,0,0,1,0
299,2021-06-30 06:34:00+04:30,1,0,0,0,1,0
300,2021-06-30 06:35:00+04:30,0,0,0,0,1,0
301,2021-06-30 06:36:00+04:30,0,0,0,0,1,0
302,2021-06-30 06:37:00+04:30,0,0,0,0,1,0
303,2021-06-30 06:38:00+04:30,0,0,0,0,1,0
304,2021-06-30 06:39:00+04:30,0,0,0,0,1,0
