,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26
287,33442.065,33502.630000000005,33375.965,33443.770000000004,33579.0
288,33439.832500000004,33502.630000000005,33371.005000000005,33443.770000000004,33562.74
289,33439.8375,33502.630000000005,33379.615000000005,33443.770000000004,33567.98
290,33439.8375,33502.630000000005,33413.765,33443.770000000004,33562.34
291,33439.8375,33502.630000000005,33426.625,33443.770000000004,33540.43
292,33439.8375,33489.585,33429.505000000005,33443.770000000004,33545.96
293,33472.8375,33474.21,33448.935,33443.770000000004,33550.59
294,33485.2425,33474.21,33451.065,33425.305,33564.01
295,33485.5375,33474.21,33460.3,33423.225000000006,33537.61
296,33485.5375,33471.28,33460.630000000005,33423.225000000006,33516.14
297,33485.5375,33470.405,33464.705,33425.83500000001,33507.86
298,33491.78,33470.405,33497.455,33439.740000000005,33460.42
299,33495.465,33470.405,33534.755000000005,33472.365000000005,33453.43
300,33496.76,33470.405,33535.05,33472.365000000005,33463.42
301,33492.31,33470.405,33554.0,33472.365000000005,33532.58
302,33480.925,33470.405,33554.009999999995,33472.365000000005,33564.02
303,33471.692500000005,33470.405,33554.009999999995,33472.365000000005,33572.93
304,33467.5225,33470.405,33559.665,33472.365000000005,33534.71
305,33467.4725,33470.405,33562.509999999995,33472.365000000005,33555.57
306,33448.2575,33468.3,33578.315,33472.365000000005,33588.26
307,33422.565,33443.770000000004,33596.83,33505.005000000005,33589.99
308,33422.565,33443.770000000004,33612.5,33507.96000000001,33560.33
309,33422.39,33443.770000000004,33613.899999999994,33509.36,33568.67
310,33409.8675,33443.770000000004,33613.899999999994,33509.36,33587.1
311,33409.8675,33443.770000000004,33613.899999999994,33510.56,33598.65
312,33409.8675,33443.770000000004,33613.899999999994,33519.795,33600.97
313,33409.8675,33443.770000000004,33608.66,33520.125,33581.55
314,33407.387500000004,33443.770000000004,33602.68,33521.59,33569.61
315,33411.692500000005,33443.770000000004,33600.46,33540.435,33590.96
316,33428.7675,33443.770000000004,33600.31,33545.11,33600.0
317,33435.1975,33443.770000000004,33584.979999999996,33545.405,33580.03
318,33436.637500000004,33443.770000000004,33570.29,33564.354999999996,33578.71
319,33446.3525,33443.770000000004,33560.625,33564.365,33562.81
320,33438.185,33443.770000000004,33560.625,33564.365,33598.71
321,33441.762500000004,33443.770000000004,33555.619999999995,33570.020000000004,33596.93
